,portfolio,date
589,19269.57828307277,2019-05-08
590,19146.13189651444,2019-05-09
591,19277.995154270968,2019-05-10
592,18752.450429186196,2019-05-13
593,18955.15348137968,2019-05-14
594,19077.306834058094,2019-05-15
595,19533.50870688304,2019-05-16
596,19477.571617168604,2019-05-17
597,19490.54253987025,2019-05-20
598,19628.54965057877,2019-05-21
599,19525.14054190057,2019-05-22
600,19258.811713630832,2019-05-23
601,19356.96504607182,2019-05-24
602,19155.383262555104,2019-05-28
603,18993.72383355246,2019-05-29
604,18976.439873848307,2019-05-30
605,18632.916886779865,2019-05-31
606,18775.111734828,2019-06-03
607,19130.44565958563,2019-06-04
608,19302.116584762134,2019-06-05
609,19484.49333898515,2019-06-06
610,19706.26264617002,2019-06-07
611,19868.282504564686,2019-06-10
612,19907.19935413786,2019-06-11
613,19774.85743907687,2019-06-12
614,19813.90281202635,2019-06-13
615,19715.316833431443,2019-06-14
616,19789.651477432973,2019-06-17
617,20229.208085090962,2019-06-18
618,20279.22151039607,2019-06-19
619,20453.24412009986,2019-06-20
620,20378.529324789615,2019-06-21
621,20330.32690276852,2019-06-24
622,20122.450506551868,2019-06-25
623,20226.743968735293,2019-06-26
624,20200.27990468409,2019-06-27
625,20077.90429641557,2019-06-28
626,20255.984411844747,2019-07-01
627,20362.491446749413,2019-07-02
628,20591.430455429458,2019-07-03
629,20532.46889095242,2019-07-05
630,20432.22771301745,2019-07-08
631,20567.976621425398,2019-07-09
632,20754.066219442757,2019-07-10
633,20817.657378093143,2019-07-11
634,20957.925746908455,2019-07-12
635,21042.489750452503,2019-07-15
636,20924.423608185974,2019-07-16
637,20779.5121985164,2019-07-17
638,20987.32434197965,2019-07-18
639,20538.250247967775,2019-07-19
640,20721.66869325706,2019-07-22
641,20990.4066282368,2019-07-23
642,20944.737777750852,2019-07-24
643,20785.943858286326,2019-07-25
644,20721.81190713943,2019-07-26
645,20819.388376876388,2019-07-29
646,20680.875190605086,2019-07-30
647,20321.374860689826,2019-07-31
648,20262.786865684393,2019-08-01
649,20134.738203390065,2019-08-02
650,19528.665561835187,2019-08-05
651,19815.708604816286,2019-08-06
652,19896.421839139086,2019-08-07
653,20204.91665956024,2019-08-08
654,20325.537120303186,2019-08-09
655,20140.52906833411,2019-08-12
656,20431.57741737538,2019-08-13
657,19780.417656225516,2019-08-14
658,19673.497521690693,2019-08-15
659,19986.276316710086,2019-08-16
660,20108.238290187564,2019-08-19
661,19806.42702361934,2019-08-20
662,20027.817475037868,2019-08-21
663,20087.927039005044,2019-08-22
664,19520.398383988206,2019-08-23
665,19743.165027538154,2019-08-26
666,19656.4249504795,2019-08-27
667,19856.31371424921,2019-08-28
668,20085.653958829436,2019-08-29
669,20053.66472703656,2019-08-30
670,19693.164734231304,2019-09-03
671,19863.368074347993,2019-09-04
672,20186.0872901047,2019-09-05
673,20201.214998338673,2019-09-06
674,20180.45769933743,2019-09-09
675,19976.878799189257,2019-09-10
676,20088.35782483661,2019-09-11
677,20118.985958686513,2019-09-12
678,20168.32544496082,2019-09-13
679,19965.215163865538,2019-09-16
680,20115.081306801498,2019-09-17
681,20110.87161093618,2019-09-18
682,19972.645886064616,2019-09-19
683,19840.177821301248,2019-09-20
684,20005.508918057392,2019-09-23
685,19949.42699826935,2019-09-24
686,20112.512981352553,2019-09-25
687,20055.74636993789,2019-09-26
688,20014.15887993715,2019-09-27
689,20052.930114331586,2019-09-30
690,19798.957294216736,2019-10-01
691,19283.265067187083,2019-10-02
692,19347.682152043017,2019-10-03
693,19615.171210347344,2019-10-04
694,19558.864886307783,2019-10-07
695,19314.606026523856,2019-10-08
696,19481.442033455223,2019-10-09
697,19644.881022255104,2019-10-10
698,19901.17855180894,2019-10-11
699,19919.5172066601,2019-10-14
700,20069.93347067508,2019-10-15
701,20004.717430887078,2019-10-16
702,20138.763940350087,2019-10-17
703,19962.102496597818,2019-10-18
704,20136.158589186212,2019-10-21
705,20236.16842553697,2019-10-22
706,20044.599438980895,2019-10-23
707,19999.614991005015,2019-10-24
708,20123.88805468962,2019-10-25
709,20240.54384506374,2019-10-28
710,20317.352510088265,2019-10-29
711,20468.688453431972,2019-10-30
712,20537.472968753103,2019-10-31
713,20926.72736383648,2019-11-01
714,20744.99720979621,2019-11-04
715,20731.73541494262,2019-11-05
716,20862.124691565477,2019-11-06
717,21035.828608086213,2019-11-07
718,21220.333426622103,2019-11-08
719,21159.371516988882,2019-11-11
720,21197.934591582656,2019-11-12
721,21084.383938813495,2019-11-13
722,21106.176885452922,2019-11-14
723,21224.82900740339,2019-11-15
724,21137.750173878965,2019-11-18
725,21314.150232059503,2019-11-19
726,21272.590274753125,2019-11-20
727,21322.43650291694,2019-11-21
728,21465.405075647926,2019-11-22
729,21770.271827899385,2019-11-25
730,21707.008844347907,2019-11-26
731,21757.787983531944,2019-11-27
732,21745.23240336051,2019-11-29
733,21442.070782324652,2019-12-02
734,21332.998391971836,2019-12-03
735,21483.841863471618,2019-12-04
736,21482.711496680382,2019-12-05
737,21695.168068568568,2019-12-06
738,21637.74643979858,2019-12-09
739,21721.944487586472,2019-12-10
740,21720.59264071726,2019-12-11
741,22001.606715171714,2019-12-12
742,22190.664458544336,2019-12-13
743,22420.198278786393,2019-12-16
744,22507.781303326985,2019-12-17
745,22411.214487245797,2019-12-18
746,22479.35407300305,2019-12-19
747,22610.74969402177,2019-12-20
748,22521.841689615398,2019-12-23
749,22504.822360883536,2019-12-24
750,22542.770875235754,2019-12-26
751,22508.58631926093,2019-12-27
752,22372.569156396632,2019-12-30
753,22431.839490005175,2019-12-31
754,22551.795878278925,2020-01-02
755,22357.919368282124,2020-01-03
756,22393.51642266254,2020-01-06
757,22224.97019725938,2020-01-07
758,22411.409019490722,2020-01-08
759,22629.494862849657,2020-01-09
760,22551.171061939443,2020-01-10
761,22600.997283988436,2020-01-13
762,22762.94319979651,2020-01-14
763,22926.38792642088,2020-01-15
764,22957.015442738688,2020-01-16
765,23087.475415471443,2020-01-17
766,22842.53235913148,2020-01-21
767,22923.209942591744,2020-01-22
768,22876.846528539216,2020-01-23
769,22999.959950387984,2020-01-24
770,22388.655367703726,2020-01-27
771,22650.37776659767,2020-01-28
772,22643.3620765742,2020-01-29
773,22761.31714337986,2020-01-30
774,22018.04351536416,2020-01-31
775,22151.766611382933,2020-02-03
776,22457.722911746518,2020-02-04
777,22997.1460576715,2020-02-05
778,22948.788398810113,2020-02-06
779,22715.144473854267,2020-02-07
780,22753.825396993114,2020-02-10
781,22835.570261294622,2020-02-11
782,22887.84716825532,2020-02-12
783,22939.886574174863,2020-02-13
784,23105.199256794745,2020-02-14
785,23009.513596813067,2020-02-18
786,23174.060645767924,2020-02-19
787,23143.256167605054,2020-02-20
788,22930.480715302954,2020-02-21
789,21991.42827471829,2020-02-24
790,20970.655145301775,2020-02-25
791,20742.614385783116,2020-02-26
792,19734.052390093086,2020-02-27
793,19360.705239297124,2020-02-28
794,20249.927175704688,2020-03-02
795,19409.221974397704,2020-03-03
796,20524.464587658684,2020-03-04
797,19918.581661193795,2020-03-05
798,19618.17248545926,2020-03-06
799,17953.610041780525,2020-03-09
800,18862.942152778556,2020-03-10
801,17891.715830865945,2020-03-11
802,16066.095548264157,2020-03-12
803,18163.685808880524,2020-03-13
804,16145.04373609916,2020-03-16
805,17034.26831910132,2020-03-17
806,15920.627129386148,2020-03-18
807,15963.360983109511,2020-03-19
808,15269.95193910064,2020-03-20
809,14777.675602657973,2020-03-23
810,16639.979482284594,2020-03-24
811,16654.29517069539,2020-03-25
