,portfolio,date
502,12088.547095672355,2019-01-02
503,11358.233613277414,2019-01-03
504,11812.63978754439,2019-01-04
505,11848.187606825233,2019-01-07
506,11988.192441832494,2019-01-08
507,12100.82078188573,2019-01-09
508,12161.689723617048,2019-01-10
509,12104.360783660686,2019-01-11
510,11993.547519018068,2019-01-14
511,12113.881282355678,2019-01-15
512,12209.846551750072,2019-01-16
513,12284.544386625612,2019-01-17
514,12394.214698667254,2019-01-18
515,12183.738998917252,2019-01-22
516,12212.766334757032,2019-01-23
517,12165.955353756075,2019-01-24
518,12457.085367943198,2019-01-25
519,12231.174850057165,2019-01-28
520,12220.783877632648,2019-01-29
521,12726.035720757973,2019-01-30
522,12801.585023543837,2019-01-31
523,12836.765843293528,2019-02-01
524,13069.517824739854,2019-02-04
525,13218.83009873568,2019-02-05
526,13233.028920539673,2019-02-06
527,13028.230366993172,2019-02-07
528,13037.86202432857,2019-02-08
529,13013.366680446114,2019-02-11
530,13159.931908181292,2019-02-12
531,13158.16345725916,2019-02-13
532,13151.092525315924,2019-02-14
533,13172.206177107468,2019-02-15
534,13165.91760860971,2019-02-19
535,13228.570368626695,2019-02-20
536,13170.535145200121,2019-02-21
537,13301.188750284826,2019-02-22
538,13344.131444194738,2019-02-25
539,13347.198553539065,2019-02-26
540,13395.062214404386,2019-02-27
541,13323.436540193965,2019-02-28
542,13458.16339957963,2019-03-01
543,13492.657867290422,2019-03-04
544,13467.101438341844,2019-03-05
545,13408.168489055419,2019-03-06
546,13266.980622330699,2019-03-07
547,13288.199328972103,2019-03-08
548,13560.926134531457,2019-03-11
549,13675.806739351026,2019-03-12
550,13767.148283503418,2019-03-13
551,13869.700891897557,2019-03-14
552,14022.980972370206,2019-03-15
553,14125.922243360952,2019-03-18
554,14040.364886437505,2019-03-19
555,14029.736300334918,2019-03-20
556,14410.590905399624,2019-03-21
557,14110.092781417221,2019-03-22
558,13985.748061742403,2019-03-25
559,13926.199338699333,2019-03-26
560,13981.205154211204,2019-03-27
561,14015.083592784364,2019-03-28
562,14107.179933597074,2019-03-29
563,14256.457954571184,2019-04-01
564,14375.29282899476,2019-04-02
565,14433.633503771604,2019-04-03
566,14444.855232679673,2019-04-04
567,14531.408834043872,2019-04-05
568,14658.839905605231,2019-04-08
569,14585.256798870685,2019-04-09
570,14656.424034381887,2019-04-10
571,14554.21494976637,2019-04-11
572,14566.097531586316,2019-04-12
573,14581.6456962746,2019-04-15
574,14635.866603383422,2019-04-16
575,14754.755715666897,2019-04-17
576,14784.42795605117,2019-04-18
577,14783.058105662536,2019-04-22
578,14993.39040198202,2019-04-23
579,14938.485609051659,2019-04-24
580,14905.349567102536,2019-04-25
581,14909.131346878432,2019-04-26
